Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Height (Inches),height_scaled,weight_scaled,DBSCAN Results,IsolationForest Results,Height-Weight PCA,PCA Z-Score Results
Isaiah Hartenstein,HOU,22,7-0,250,None,Germany,2017,2,43,23,4.7,3.9,0.8,8.7,10.7%,20.0%,14.4%,67.4%,9.5%,84,1.662512924845917,1.3568644142919948,Core Data,Core Data,2.13502219146541,Core Data
Isaiah Roby,OKC,22,6-8,230,University of Nebraska-Lincoln,USA,2019,2,45,3,0.0,0.7,0.0,-11.5,0.0%,16.7%,7.1%,0.0%,0.0%,80,0.49105859618326075,0.5288781700187625,Core Data,Core Data,0.7212042037629275,Core Data
Isaiah Thomas,WAS,31,5-9,185,Washington,USA,2011,2,60,40,12.2,1.7,3.7,-10.4,1.1%,6.3%,23.6%,53.1%,22.4%,69,-2.730440807639044,-1.33409087959601,Core Data,Core Data,-2.8740579183915074,Outlier
Ish Smith,WAS,31,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,68,10.9,3.2,4.9,-3.9,1.5%,10.3%,18.6%,50.9%,26.6%,72,-1.8518500611420516,-1.7480840017326262,Core Data,Core Data,-2.5455377876831253,Core Data
Ivica Zubac,LAC,23,7-0,240,None,Croatia,2016,2,32,72,8.3,7.5,1.1,8.9,14.0%,24.0%,16.3%,65.1%,9.1%,84,1.662512924845917,0.9428712921553787,Core Data,Core Data,1.842284847438018,Core Data
J.J. Barea,DAL,36,5-10,180,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,29,7.7,1.8,3.9,2.9,2.2%,9.7%,24.5%,51.2%,36.5%,70,-2.4375772254733796,-1.5410874406643182,Core Data,Core Data,-2.8133407654932787,Outlier
J.P. Macura,CLE,25,6-4,203,Xavier,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,150.0,0.0%,0.0%,0.0%,0.0%,0.0%,76,-0.6803957324793954,-0.588903259750101,Core Data,Core Data,-0.8975299247587294,Core Data
JJ Redick,NOP,36,6-3,200,Duke,USA,2006,1,11,60,15.3,2.5,2.0,-1.0,0.6%,8.3%,19.7%,64.4%,10.7%,75,-0.9732593146450594,-0.7131011963910859,Core Data,Core Data,-1.1924369528788716,Core Data
JR Smith,LAL,34,6-6,220,None,USA,2004,1,18,6,2.8,0.8,0.5,-16.7,0.0%,6.0%,14.4%,37.2%,5.6%,78,-0.09466856814806733,0.11488504788214636,Core Data,Core Data,0.014295209911686231,Core Data
Ja Morant,MEM,20,6-3,174,Murray State,USA,2019,1,2,67,17.8,3.9,7.3,-0.6,2.4%,9.0%,25.6%,55.6%,35.4%,75,-0.9732593146450594,-1.7894833139462878,Core Data,Core Data,-1.9535540473500903,Core Data
JaKarr Sampson,IND,27,6-7,214,"St. John's, N.Y.",USA,Undrafted,Undrafted,Undrafted,34,4.6,2.6,0.6,1.9,4.2%,14.1%,12.6%,61.5%,5.8%,79,0.1981950140175967,-0.13351082539982334,Core Data,Core Data,0.04573862840717579,Core Data
JaMychal Green,LAC,30,6-8,227,Alabama,USA,Undrafted,Undrafted,Undrafted,63,6.8,6.2,0.8,5.0,5.5%,20.9%,13.2%,57.6%,5.1%,80,0.49105859618326075,0.40468023337777764,Core Data,Core Data,0.6333830005547099,Core Data
JaVale McGee,LAL,32,7-0,270,Nevada-Reno,USA,2008,1,18,68,6.6,5.7,0.5,5.8,11.1%,21.8%,14.5%,65.2%,4.4%,84,1.662512924845917,2.184850658565227,Core Data,Core Data,2.7204968795201934,Outlier
Jabari Parker,SAC,25,6-8,245,Duke,USA,2014,1,2,38,14.0,5.6,1.8,-4.9,6.5%,17.0%,23.3%,57.1%,11.0%,80,0.49105859618326075,1.1498678532236868,Core Data,Core Data,1.1603102198040154,Core Data
Jacob Evans,MIN,23,6-4,210,Cincinnati,USA,2018,1,28,29,4.4,1.4,1.1,-11.0,1.9%,7.7%,16.7%,43.6%,12.0%,76,-0.6803957324793954,-0.2991080742544698,Core Data,Core Data,-0.6926137839395551,Core Data
Jae Crowder,MIA,29,6-6,235,Marquette,USA,2012,2,34,65,10.5,5.9,2.5,-2.9,2.6%,16.9%,15.2%,55.3%,11.7%,78,-0.09466856814806733,0.7358747310870706,Core Data,Core Data,0.453401225952774,Core Data
Jahlil Okafor,NOP,24,6-10,270,Duke,USA,2015,1,3,30,8.1,4.2,1.2,-10.1,9.4%,16.4%,19.5%,64.2%,12.1%,82,1.0767857605145887,2.184850658565227,Core Data,Core Data,2.3063252296963443,Core Data
Jake Layman,MIN,26,6-8,209,Maryland,USA,2016,2,47,23,9.1,2.5,0.7,2.0,3.0%,7.5%,16.5%,54.4%,4.1%,80,0.49105859618326075,-0.3405073864681314,Core Data,Core Data,0.10645578130540459,Core Data
